"","year","geo","gender","edu","age","age_g","stt","mrg","income","exp1","exp2"
"2615",2021,"G2",1,1,67,6,3,2,5563,1500,640
"2616",2021,"G2",2,4,60,6,4,3,3008,1835,147
"2617",2021,"G2",1,3,73,7,4,2,995,1038,79
"2618",2021,"G1",2,1,69,6,4,3,598,994,46
"2619",2021,"G1",1,2,71,7,1,2,5094,2850,280
"2620",2021,"G1",1,3,63,6,4,2,8946,1448,1197
"2621",2021,"G1",1,1,63,6,1,4,1720,1436,19
"2622",2021,"G1",1,3,48,4,2,2,6543,2094,218
"2623",2021,"G2",1,1,86,7,4,3,424,330,3
"2624",2021,"G2",1,1,69,6,3,2,4668,5732,785
"2625",2021,"G2",1,3,52,5,2,2,6218,3200,754
"2626",2021,"G2",1,2,75,7,4,3,4451,792,320
"2627",2021,"G2",2,4,56,5,3,2,7831,4356,1168
"2628",2021,"G2",1,2,47,4,2,1,990,1335,107
"2629",2021,"G2",1,3,36,3,1,2,6203,4857,906
"2630",2021,"G2",1,3,62,6,1,2,6254,1791,528
"2631",2021,"G1",2,4,60,6,1,4,12204,3170,2814
"2632",2021,"G1",1,4,42,4,1,2,10369,3136,2444
"2633",2021,"G1",1,4,59,5,4,4,860,2001,176
"2634",2021,"G1",1,2,68,6,4,3,2836,2855,499
"2635",2021,"G1",2,1,84,7,2,3,724,620,42
"2636",2021,"G1",2,3,57,5,2,4,5693,3291,556
"2637",2021,"G2",1,4,51,5,3,1,4609,1384,339
"2638",2021,"G2",2,1,69,6,4,4,752,629,28
"2639",2021,"G2",1,4,58,5,1,2,21670,8356,4537
"2640",2021,"G2",1,1,68,6,3,4,3203,1335,203
"2641",2021,"G2",2,3,61,6,3,3,4185,1488,739
"2642",2021,"G2",1,1,79,7,4,2,1821,973,409
"2643",2021,"G2",1,3,52,5,3,4,8192,2405,849
"2644",2021,"G1",1,1,71,7,3,2,3774,2629,147
"2645",2021,"G1",1,4,37,3,1,2,7289,1596,693
"2646",2021,"G1",1,4,37,3,1,2,4757,1694,708
"2647",2021,"G1",1,3,63,6,1,2,10872,4792,1376
"2648",2021,"G1",1,3,60,6,4,2,14212,4370,2342
"2649",2021,"G2",1,3,84,7,4,2,1393,1998,369
"2650",2021,"G2",1,4,30,3,1,1,6924,1428,1360
"2651",2021,"G2",1,1,65,6,2,2,5653,1627,203
"2652",2021,"G2",1,3,65,6,1,3,10455,4070,1738
"2653",2021,"G2",2,1,86,7,4,3,729,320,1
"2654",2021,"G1",2,3,43,4,4,4,950,816,60
"2655",2021,"G2",1,3,45,4,3,2,4267,3066,629
"2656",2021,"G1",1,3,48,4,1,2,11037,3444,2316
"2657",2021,"G1",1,4,72,7,4,2,2047,2100,7
"2658",2021,"G1",1,2,77,7,2,2,1193,1145,72
"2659",2021,"G1",1,4,85,7,4,2,5664,3474,901
"2660",2021,"G1",1,2,65,6,1,2,7211,4620,888
"2661",2021,"G1",2,1,71,7,2,3,1210,981,29
"2662",2021,"G2",2,1,73,7,4,4,794,529,57
"2663",2021,"G2",1,1,82,7,4,4,735,522,1
"2664",2021,"G2",1,4,72,7,4,3,5122,1863,525
"2665",2021,"G2",2,2,76,7,2,3,1366,712,29
"2666",2021,"G2",2,1,73,7,4,4,411,483,10
"2667",2021,"G2",1,4,37,3,1,2,6937,2852,779
"2668",2021,"G2",1,3,46,4,2,1,1858,828,61
"2669",2021,"G2",1,4,51,5,3,2,6585,2668,729
"2670",2021,"G2",1,3,52,5,3,2,13256,4051,1342
"2671",2021,"G2",1,4,38,3,3,2,5459,4270,747
"2672",2021,"G1",1,2,73,7,3,2,3765,1988,379
"2673",2021,"G1",2,3,56,5,4,4,1599,964,141
"2674",2021,"G1",1,4,43,4,1,2,16114,9780,3017
"2675",2021,"G1",1,3,46,4,1,2,3033,4100,813
"2676",2021,"G1",2,1,61,6,4,2,4373,1072,140
"2677",2021,"G2",1,3,62,6,3,2,9406,2548,911
"2678",2021,"G2",2,3,47,4,4,3,2180,934,11
"2679",2021,"G2",1,1,51,5,4,1,1162,845,1
"2680",2021,"G2",1,4,43,4,1,2,10104,6280,1911
"2681",2021,"G2",1,4,42,4,1,2,4115,4025,623
"2682",2021,"G2",1,1,72,7,3,2,4692,4092,180
"2683",2021,"G2",1,2,68,6,2,3,2179,1516,9
"2684",2021,"G1",1,3,39,3,1,2,4830,3265,525
"2685",2021,"G1",2,1,82,7,4,3,1570,1613,241
"2686",2021,"G1",2,1,72,7,2,3,1312,526,114
"2687",2021,"G1",1,4,40,4,1,1,4753,2442,607
"2688",2021,"G2",2,3,48,4,4,3,5588,5526,603
"2689",2021,"G2",1,4,48,4,1,2,10422,3338,1779
"2690",2021,"G2",2,2,55,5,4,4,960,518,0
"2691",2021,"G2",1,4,43,4,1,2,1909,6444,1908
"2692",2021,"G2",2,2,65,6,2,2,2563,1620,175
"2693",2021,"G1",1,4,39,3,1,1,4685,1855,776
"2694",2021,"G1",1,3,49,4,1,2,8993,4004,2886
"2695",2021,"G1",1,3,72,7,4,2,2040,2590,6
"2696",2021,"G1",2,3,76,7,1,4,2441,2039,162
"2697",2021,"G2",1,4,66,6,4,2,4104,2018,186
"2698",2021,"G2",2,3,54,5,4,4,4056,562,710
"2699",2021,"G2",2,2,58,5,1,4,1775,778,226
"2700",2021,"G2",1,3,37,3,1,2,5655,3030,643
"2701",2021,"G2",1,3,85,7,4,3,2474,1374,1267
"2702",2021,"G2",1,3,55,5,2,2,4099,1796,207
"2703",2021,"G2",1,3,54,5,1,4,4208,1871,373
"2704",2021,"G2",1,4,41,4,1,2,9720,4120,1580
"2705",2021,"G1",1,4,50,5,3,2,6804,5170,621
"2706",2021,"G1",2,1,80,7,2,3,749,405,69
"2707",2021,"G1",2,3,65,6,4,3,806,492,11
"2708",2021,"G1",1,4,69,6,3,2,12357,2823,1298
"2709",2021,"G1",1,4,53,5,1,2,6262,4241,752
"2710",2021,"G2",1,4,55,5,1,2,16942,5157,3136
"2711",2021,"G2",1,4,50,5,3,2,17823,5150,9451
"2712",2021,"G2",2,2,75,7,2,3,1211,898,22
"2713",2021,"G2",2,4,36,3,1,1,5369,1360,958
"2714",2021,"G2",1,4,50,5,1,2,12542,5860,2140
"2715",2021,"G2",1,3,49,4,1,2,7261,3015,1073
"2716",2021,"G2",1,3,55,5,1,2,5015,2500,555
"2717",2021,"G1",1,3,57,5,1,2,4724,2380,498
"2718",2021,"G1",1,1,69,6,1,4,3572,2570,784
"2719",2021,"G1",1,2,58,5,3,2,10184,5228,846
"2720",2021,"G1",1,4,81,7,4,3,779,624,144
"2721",2021,"G1",1,3,53,5,3,2,7928,2586,1054
"2722",2021,"G2",1,4,33,3,3,1,10574,2710,4075
"2723",2021,"G2",2,4,38,3,1,2,17336,3132,4375
"2724",2021,"G2",1,3,55,5,1,2,6530,5680,693
"2725",2021,"G2",1,4,55,5,1,2,13876,4560,1801
"2726",2021,"G2",1,4,45,4,1,2,4210,2618,435
"2727",2021,"G2",1,3,58,5,1,2,12780,1870,2708
"2728",2021,"G2",1,4,50,5,4,1,3495,2228,689
"2729",2021,"G1",1,3,39,3,1,1,3070,1858,441
"2730",2021,"G1",2,3,59,5,1,4,4403,2189,643
"2731",2021,"G1",1,1,65,6,1,2,8086,2584,411
"2732",2021,"G1",2,3,60,6,1,4,5633,2474,949
"2733",2021,"G2",1,4,43,4,3,2,6360,4180,853
"2734",2021,"G2",1,4,57,5,3,2,16013,2640,1114
"2735",2021,"G2",1,4,52,5,1,2,11463,2580,1240
"2736",2021,"G2",1,3,40,4,1,2,6058,3770,960
"2737",2021,"G2",1,4,57,5,3,2,9968,4280,1375
"2738",2021,"G2",1,4,60,6,4,2,12910,5467,1961
"2739",2021,"G2",1,2,80,7,4,2,1194,1360,1
"2740",2021,"G1",1,3,41,4,1,2,6221,3510,905
"2741",2021,"G1",1,1,68,6,1,2,3548,1716,302
"2742",2021,"G1",2,3,50,5,2,4,4061,2675,390
"2743",2021,"G1",1,3,58,5,3,2,8227,4740,796
"2744",2021,"G1",1,3,58,5,2,2,2042,2080,251
"2745",2021,"G1",2,3,40,4,3,2,13465,5990,2322
"2746",2021,"G1",1,3,58,5,1,2,6272,2579,2840
"2747",2021,"G2",2,2,77,7,2,3,2172,1238,161
"2748",2021,"G2",1,1,65,6,3,2,3632,1805,655
"2749",2021,"G2",1,2,78,7,4,2,4055,1775,393
"2750",2021,"G1",2,4,43,4,1,2,3139,3000,346
"2751",2021,"G1",1,3,71,7,2,2,1681,910,1
"2752",2021,"G1",1,4,69,6,4,3,2993,2647,2
"2753",2021,"G1",2,1,74,7,4,3,1955,791,93
"2754",2021,"G1",1,1,69,6,4,2,5280,3078,676
"2755",2021,"G1",2,1,90,7,4,4,790,237,0
"2756",2021,"G2",1,2,81,7,3,2,2229,1016,874
"2757",2021,"G2",1,3,36,3,1,2,3796,2064,383
"2758",2021,"G2",2,1,89,7,2,3,1388,745,198
"2759",2021,"G2",2,1,79,7,4,3,1054,476,35
"2760",2021,"G1",1,4,61,6,4,2,6330,2550,739
"2761",2021,"G1",1,3,56,5,1,2,13450,2915,3614
"2762",2021,"G1",1,1,84,7,4,2,1706,838,64
"2763",2021,"G1",2,3,57,5,3,3,3261,2692,313
"2764",2021,"G1",1,1,78,7,2,2,2491,1994,109
"2765",2021,"G2",1,3,71,7,3,2,2500,2022,79
"2766",2021,"G2",1,2,69,6,2,2,3488,1937,645
"2767",2021,"G2",2,1,92,7,4,3,1255,894,3
"2768",2021,"G1",2,3,48,4,1,2,9728,3748,1709
"2769",2021,"G2",2,1,82,7,2,3,992,776,7
"2770",2021,"G2",1,2,68,6,3,2,2331,1191,161
"2771",2021,"G2",2,1,69,6,2,3,1316,855,122
"2772",2021,"G1",1,3,69,6,1,3,9680,4731,2239
"2773",2021,"G1",2,2,76,7,2,3,1592,660,50
"2774",2021,"G1",1,3,41,4,4,2,2147,1458,117
"2775",2021,"G1",1,3,52,5,1,2,3845,2850,473
"2776",2021,"G1",1,1,71,7,4,2,1171,694,191
"2777",2021,"G2",2,1,61,6,2,4,1866,1023,130
"2778",2021,"G2",1,1,73,7,3,2,2007,1468,352
"2779",2021,"G1",2,3,50,5,3,4,5183,2962,1268
"2780",2021,"G1",1,1,66,6,4,3,2075,1118,0
"2781",2021,"G1",1,2,57,5,2,2,1166,2846,30
"2782",2021,"G1",1,3,33,3,3,2,3354,2460,195
"2783",2021,"G1",1,1,73,7,3,2,3625,1053,288
